measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Europe,Male,10 to 14,Opioid use disorders,Number,2011,5.268447024363416,10.462731136376398,1.730976061752661
Deaths,Europe,Female,10 to 14,Opioid use disorders,Number,2011,0.0,0.0,0.0
Deaths,Europe,Male,15 to 19,Opioid use disorders,Number,2011,200.15258972189193,215.25329879483553,188.4571373031859
Deaths,Europe,Female,15 to 19,Opioid use disorders,Number,2011,80.33397201514227,85.11387192561328,76.1216812087829
Deaths,Europe,Male,20 to 24,Opioid use disorders,Number,2011,1057.0994298873477,1133.1910021438614,997.0197978055405
Deaths,Europe,Female,20 to 24,Opioid use disorders,Number,2011,217.96723777215584,228.45094968306637,206.862044128071
Deaths,Europe,Male,25 to 29,Opioid use disorders,Number,2011,2207.419724689095,2422.7759651817482,2067.376220932378
Deaths,Europe,Female,25 to 29,Opioid use disorders,Number,2011,364.5199213128881,382.53807571274547,344.0367044088914
Deaths,Europe,Male,30 to 34,Opioid use disorders,Number,2011,2576.22769901987,2757.9903207115594,2429.721643199143
Deaths,Europe,Female,30 to 34,Opioid use disorders,Number,2011,392.4701221086627,411.49768013514824,372.7701288429154
Deaths,Europe,Male,35 to 39,Opioid use disorders,Number,2011,1906.6022653637408,2028.9060613999125,1815.628114368241
Deaths,Europe,Female,35 to 39,Opioid use disorders,Number,2011,332.693224558687,348.25534980892087,315.2417320608002
Deaths,Europe,Male,40 to 44,Opioid use disorders,Number,2011,1285.6693806644182,1368.6029997069807,1214.2801648316674
Deaths,Europe,Female,40 to 44,Opioid use disorders,Number,2011,286.2900448914745,302.53588023253803,271.694464101814
Deaths,Europe,Male,45 to 49,Opioid use disorders,Number,2011,973.8022531622627,1036.156273610422,915.2776999465104
Deaths,Europe,Female,45 to 49,Opioid use disorders,Number,2011,280.60095472275435,296.5374161483338,266.0067567576263
Deaths,Europe,Male,50 to 54,Opioid use disorders,Number,2011,744.6509690405748,786.2108338014834,706.5236490503661
Deaths,Europe,Female,50 to 54,Opioid use disorders,Number,2011,296.56559191990186,312.7394596579104,283.1653199993607
Deaths,Europe,Male,55 to 59,Opioid use disorders,Number,2011,550.4208984696759,579.6096230161575,522.5813978296275
Deaths,Europe,Female,55 to 59,Opioid use disorders,Number,2011,280.1526197984489,295.99960271604294,267.0161960032499
Deaths,Europe,Male,60 to 64,Opioid use disorders,Number,2011,375.51066459184244,394.62514422064936,357.28853959894514
Deaths,Europe,Female,60 to 64,Opioid use disorders,Number,2011,211.20716891684637,223.18740536017543,200.31036779058422
Deaths,Europe,Male,65 to 69,Opioid use disorders,Number,2011,185.04908756714508,195.50188778168814,175.61379192957364
Deaths,Europe,Female,65 to 69,Opioid use disorders,Number,2011,137.46947194749782,145.68000269084183,129.76073163778076
Deaths,Europe,Male,70 to 74,Opioid use disorders,Number,2011,222.97078929097265,236.00600846018733,210.21180443398242
Deaths,Europe,Female,70 to 74,Opioid use disorders,Number,2011,173.98845478981187,185.82428703174313,163.14553563336577
Deaths,Europe,Male,75 to 79,Opioid use disorders,Number,2011,180.2540695482584,198.11564168766705,163.9718416525241
Deaths,Europe,Female,75 to 79,Opioid use disorders,Number,2011,184.9970656926078,204.35305825479054,166.04270714750737
Deaths,Europe,Male,80 to 84,Opioid use disorders,Number,2011,127.9077427905046,150.81662730915545,107.58595782848914
Deaths,Europe,Female,80 to 84,Opioid use disorders,Number,2011,230.1190803613075,261.10730036603854,195.25822666054958
Deaths,Europe,Male,85 to 89,Opioid use disorders,Number,2011,100.92390844811916,124.46479573793751,80.64164482440378
Deaths,Europe,Female,85 to 89,Opioid use disorders,Number,2011,231.37833034696428,280.5631028079132,179.1312518705834
Deaths,Europe,Male,90 to 94,Opioid use disorders,Number,2011,36.72325191712816,44.733590536600786,28.971035100784373
Deaths,Europe,Female,90 to 94,Opioid use disorders,Number,2011,107.54632503519133,126.960927715169,82.30840332709126
Deaths,Europe,Male,95 plus,Opioid use disorders,Number,2011,15.799708391387167,19.498521280280723,12.0969123086188
Deaths,Europe,Female,95 plus,Opioid use disorders,Number,2011,60.28862676528515,71.84448264028565,44.70259658118513
Deaths,Europe,Male,10 to 14,Cocaine use disorders,Number,2011,0.0,0.0,0.0
Deaths,Europe,Female,10 to 14,Cocaine use disorders,Number,2011,0.0,0.0,0.0
Deaths,Europe,Male,15 to 19,Cocaine use disorders,Number,2011,12.026311254258255,13.033473286239413,11.0555738974433
Deaths,Europe,Female,15 to 19,Cocaine use disorders,Number,2011,2.3745611962874853,2.7063042759620863,2.1168968101255916
Deaths,Europe,Male,20 to 24,Cocaine use disorders,Number,2011,52.939384298569856,57.54527342571897,48.64712963986921
Deaths,Europe,Female,20 to 24,Cocaine use disorders,Number,2011,5.199569119274871,5.631053856211852,4.812582234918999
Deaths,Europe,Male,25 to 29,Cocaine use disorders,Number,2011,98.26923392276868,108.55150727581108,88.96525171962739
Deaths,Europe,Female,25 to 29,Cocaine use disorders,Number,2011,7.675410500821467,8.265039202590652,7.079639856550418
Deaths,Europe,Male,30 to 34,Cocaine use disorders,Number,2011,104.01507230287548,114.03921601150523,96.88887510174031
Deaths,Europe,Female,30 to 34,Cocaine use disorders,Number,2011,23.059561549041653,24.430612572447146,21.520679470234967
Deaths,Europe,Male,35 to 39,Cocaine use disorders,Number,2011,80.28470706438853,87.06381609024722,74.17160124781337
Deaths,Europe,Female,35 to 39,Cocaine use disorders,Number,2011,19.726493661962927,21.10852294757453,18.454553561192096
Deaths,Europe,Male,40 to 44,Cocaine use disorders,Number,2011,58.24714734768318,63.828003519883126,52.79838547633477
Deaths,Europe,Female,40 to 44,Cocaine use disorders,Number,2011,16.544130673489175,17.64590203548694,15.541035843178632
Deaths,Europe,Male,45 to 49,Cocaine use disorders,Number,2011,47.03291393030136,51.61657864451846,43.00972211709293
Deaths,Europe,Female,45 to 49,Cocaine use disorders,Number,2011,17.53392590182819,18.971877445150646,16.278841040917072
Deaths,Europe,Male,50 to 54,Cocaine use disorders,Number,2011,53.63938555361086,57.609103748335635,49.65331197725496
Deaths,Europe,Female,50 to 54,Cocaine use disorders,Number,2011,3.137612707022201,3.5096492736969886,2.841278715146767
Deaths,Europe,Male,55 to 59,Cocaine use disorders,Number,2011,42.02331130314953,44.812471456070064,39.34464367270037
Deaths,Europe,Female,55 to 59,Cocaine use disorders,Number,2011,3.1618854951799102,3.5313312992677046,2.851188773329606
Deaths,Europe,Male,60 to 64,Cocaine use disorders,Number,2011,27.943262161523265,29.72167560586035,26.00693225391671
Deaths,Europe,Female,60 to 64,Cocaine use disorders,Number,2011,1.994902118033703,2.2850348456797502,1.759720771222024
Deaths,Europe,Male,65 to 69,Cocaine use disorders,Number,2011,13.781437923491946,14.888939171482562,12.751762109808874
Deaths,Europe,Female,65 to 69,Cocaine use disorders,Number,2011,1.7951747374717106,2.058020505404028,1.592413207658649
Deaths,Europe,Male,70 to 74,Cocaine use disorders,Number,2011,1.5343827169493598,1.9564968128989115,1.2273582256549174
Deaths,Europe,Female,70 to 74,Cocaine use disorders,Number,2011,2.7182512576119797,3.1844396688242838,2.342038244867896
